Rekv.Nr.,CPR,Alder,Klinisk Info
23hvh993604,9723883262,36,A58452005
23hvh907206,2904624079,62,A22347583
23hvh317696,3714815622,43,A81808585
23hvh522689,339801422,24,A81100683
23hvh816487,2300993183,25,A48237200
23hvh685432,2684715241,53,A67251350
23hvh466308,5718752866,49,A66971788
23hvh362923,191017660,23,A96006931
23hvh969935,4452783966,46,A57034521
23hvh498313,6182905997,34,A92878234
23hvh895683,7398978945,27,A72676606
23hvh532759,3460858289,39,A71187364
23hvh660806,260329597,22,A52835647
23hvh516603,4936623339,62,A97820842
23hvh196695,7204706635,54,A93646870
23hvh717626,9464636274,61,A85251518
23hvh699997,5345649718,60,A96541160
23hvh492992,9044637902,61,A68961785
23hvh749632,508111097,23,A32494513
23hvh385581,3241818527,43,A22801297
23hvh293607,1272942348,30,A90286111
23hvh820256,7391733185,51,A72058548
23hvh469134,6967825195,42,A18143843
23hvh480277,2149922241,32,A32613520
23hvh232396,3522768438,48,A82832026
23hvh218529,5246845324,40,A22558046
23hvh274430,4387899426,35,A28080481
23hvh973263,4121985017,26,A47593540
23hvh550313,5162986452,26,A37111591
23hvh965375,2424609035,64,A88271346
23hvh550440,2518797375,45,A58456231
23hvh768209,8737746877,50,A51798893
23hvh145668,9167797214,45,A96175456
23hvh399988,2153977483,27,A46615147
23hvh578358,1199644142,60,A97640469
23hvh389424,4190635989,61,A84104426
23hvh191902,5255963721,28,A18355077
23hvh711709,8046731203,51,A67336978
23hvh116572,7124755940,49,A68640330
23hvh677529,2943612736,63,A45922271
23hvh981952,7575809989,44,A38124776
23hvh553450,2506864296,38,A23356110
23hvh831343,7223724953,52,A27389123
23hvh436699,4110792863,45,A25445371
23hvh516956,8034794651,45,A28270334
23hvh214102,7142925883,32,A63928202
23hvh288805,8772941142,30,A84277810
23hvh638624,8930691934,55,A97464176
23hvh702318,5127864226,38,A94546064
23hvh130770,8530691920,55,A29178070
23hvh425145,6228678285,57,A89297555
23hvh687757,5349749519,50,A97886844
23hvh551865,4803826419,42,A48746975
23hvh746614,7921726814,52,A44681202
23hvh393076,953036881,21,A61787696
23hvh358596,5781764828,48,A42215886
23hvh820711,9660933851,31,A14889030
23hvh421697,9669784524,46,A51433363
23hvh193701,1686686372,56,A17467299
23hvh621123,3681722796,52,A81766840
23hvh956919,6047816976,43,A84579555
23hvh231520,4403897478,35,A97418621
23hvh334480,7165698484,55,A70903695
23hvh117791,6973745584,50,A82073130
23hvh410800,7749744780,50,A96326393
23hvh223667,1612916674,33,A90207362
23hvh712205,7842897909,35,A15226390
23hvh279378,4190873978,37,A72671523
23hvh311196,1692825346,42,A36973439
23hvh409151,9477965506,28,A46959875
23hvh380119,7223958110,29,A63210093
23hvh330747,9403686063,56,A84354559
23hvh861631,8053659395,59,A49128167
23hvh265940,8822995570,25,A14084200
23hvh880585,6071932304,31,A51921687
23hvh343594,6140889686,36,A99981497
23hvh240989,2796761136,48,A68482982
23hvh751893,5761941163,30,A34032010
23hvh440102,2487687944,56,A34743968
23hvh866513,8703783946,46,A94140157
23hvh566368,1148917004,33,A42557194
23hvh735509,5376901933,34,A17857834
23hvh118110,7520601540,64,A98957082
23hvh910498,5275973397,27,A71386915
23hvh935414,4309955573,29,A45982435
23hvh488261,3483667962,58,A77154673
23hvh189534,9341848309,40,A29437728
23hvh318185,3329649598,60,A93028978
23hvh451147,7969962783,28,A95912471
23hvh849874,9525647499,60,A19355233
23hvh940228,6754747349,50,A20524449
23hvh564243,8370698794,55,A25452670
23hvh594820,6366635056,61,A52448250
23hvh519450,7592958664,29,A64355978
23hvh128440,499519824,23,A64738064
23hvh868339,2115973460,27,A86377530
23hvh531494,5023878170,37,A44130754
23hvh622442,3642913523,33,A28320662
23hvh412977,6711778501,47,A34787795
23hvh145029,9336788122,46,A54270457
